product-item-link,,Special Price,Regular Price,differ
oraimo FreePods 3 ENC Calling Noise Cancellation TWS True Wireless Earbuds - Black,,"15,900","19,900","4,000"
oraimo Necklace 5C Neckband WirelessÂ Earphone,,"6,900","9,300","2,400"
oraimo Pilot 20000mAh 2.1A Fast Charging Power Bank - Online Exclusive,,"8,800","12,900","4,100"
oraimo Riff Smaller For Comfort TWS True Wireless Earbuds - White,,"10,900","13,800","2,900"
oraimo Riff Smaller For Comfort TWS True Wireless Earbuds - Black,,"10,900","13,800","2,900"
oraimo Firefly 2 5.0V/2.1A Dual USB Fast UK Wall Charger,,"2,900","4,100","1,200"
oraimo Toast 10 PD Pro 20W Smart Power PD3.0 & QC3.0 COMPATIBLE Fast Charging Power Bank,,"7,200","12,900","5,700"
oraimo FreePods 3 ENC Calling Noise Cancellation TWS True Wireless Earbuds - White,,"14,900","19,900","5,000"
oraimo Traveler 3 Byte Massive Power 27000mAh Power Bank,,"12,400","16,800","4,400"
oraimo Traveler 2 20000mAh 2.1A Fast Charging Portable Power Bank,,"9,900","14,800","4,900"
oraimo Necklace 3 Lite Neckband Wireless Earphone,,"10,500","13,500","3,000"
oraimo Windy Black Portable Handheld Fan,,"4,900","6,200","1,300"
oraimo SoundPro 2C 10W Portable Wireless Bluetooth Speaker - Online Exclusive,,"8,400","12,800","4,400"
oraimo Tempo S IP67 Waterproof Smart Watch,,"13,500","16,800","3,300"
oraimo Traveler 4 20000mAh 2.1A Triple Ports Fast Charging LED Power Bank-Black,,"9,000","13,200","4,200"
oraimo Tempo S2 Blood Oxygen Heart Rate Smart Watch - Online Exclusive,,"13,500","19,900","6,400"
oraimo Palm Powerful Bass Ultra Portable Design IP67 Water proof Portable Wireless Speaker 3 Colors,,"7,200","9,500","2,300"
